ticket_id,category,priority,status,created_at,resolution_time,user_id,technician_id,satisfaction_score,description,composite_sentiment
T0000,Network,Medium,Resolved,2024-01-01 00:00:00,7.029870967589413,U000,T00,4.71628434461008,Sample IT support ticket 0 with various issues and complexities,-0.4065071861300649
T0001,Security,Medium,Resolved,2024-01-01 01:00:00,5.784649586010345,U001,T01,3.494737816667735,Sample IT support ticket 1 with various issues and complexities,0.41163995783885265
T0002,Hardware,Medium,Open,2024-01-01 02:00:00,3.408843183378651,U002,T02,4.202532190430385,Sample IT support ticket 2 with various issues and complexities,0.1128807615558772
T0003,Network,Low,Resolved,2024-01-01 03:00:00,12.49855066079174,U003,T03,4.656275210089965,Sample IT support ticket 3 with various issues and complexities,0.008806625966828657
T0004,Network,Medium,Resolved,2024-01-01 04:00:00,0.8949474868178006,U004,T04,3.97310994823703,Sample IT support ticket 4 with various issues and complexities,-0.487683013639125
T0005,Security,High,Resolved,2024-01-01 05:00:00,0.46282971127905803,U005,T05,4.363792729712907,Sample IT support ticket 5 with various issues and complexities,0.6517539659673796
T0006,Hardware,Low,Resolved,2024-01-01 06:00:00,7.695552763571144,U006,T06,3.586856284889943,Sample IT support ticket 6 with various issues and complexities,0.33235137266655496
T0007,Hardware,Low,Resolved,2024-01-01 07:00:00,2.313205847789906,U007,T07,3.8428267332575223,Sample IT support ticket 7 with various issues and complexities,-0.276460418683651
T0008,Network,Low,Resolved,2024-01-01 08:00:00,7.5084552441303725,U008,T08,3.835312455295728,Sample IT support ticket 8 with various issues and complexities,0.5009124268409686
T0009,Software,Medium,Resolved,2024-01-01 09:00:00,8.943079357148468,U009,T09,3.402737322767809,Sample IT support ticket 9 with various issues and complexities,-0.24878541919260358
T0010,Network,Medium,Resolved,2024-01-01 10:00:00,0.2579731547503336,U010,T10,3.8585806695073743,Sample IT support ticket 10 with various issues and complexities,-0.3910017462555185
T0011,Network,Medium,Resolved,2024-01-01 11:00:00,8.598246352281292,U011,T11,2.761105360909003,Sample IT support ticket 11 with various issues and complexities,-0.37985155874014354
T0012,Network,Low,Closed,2024-01-01 12:00:00,2.379141594673699,U012,T12,3.6070770022863163,Sample IT support ticket 12 with various issues and complexities,-0.8855342765440456
T0013,Network,Low,Open,2024-01-01 13:00:00,2.856931632984423,U013,T13,3.7720996053042635,Sample IT support ticket 13 with various issues and complexities,0.23577119020910287
T0014,Security,Critical,In Progress,2024-01-01 14:00:00,3.9403399683412084,U014,T14,3.795056198003696,Sample IT support ticket 14 with various issues and complexities,-0.9155724391691751
T0015,Hardware,Critical,Open,2024-01-01 15:00:00,10.435495838259103,U015,T15,3.806802043303377,Sample IT support ticket 15 with various issues and complexities,-0.6142219156328813
T0016,Security,Medium,Resolved,2024-01-01 16:00:00,0.07720467746234337,U016,T16,3.950588640111897,Sample IT support ticket 16 with various issues and complexities,-1.0377940045392666
T0017,Security,Low,Resolved,2024-01-01 17:00:00,2.591498255751293,U017,T17,4.383553214468851,Sample IT support ticket 17 with various issues and complexities,-0.04303484639544653
T0018,Security,Low,In Progress,2024-01-01 18:00:00,4.655446392534634,U018,T18,4.699613659306018,Sample IT support ticket 18 with various issues and complexities,-0.07516023013593603
T0019,Network,High,Closed,2024-01-01 19:00:00,5.130721670180418,U019,T19,3.480187818521386,Sample IT support ticket 19 with various issues and complexities,-0.16334810659318202
T0020,Software,Medium,Open,2024-01-01 20:00:00,4.717542662844432,U020,T00,3.0374393156886845,Sample IT support ticket 20 with various issues and complexities,-0.5212888473352881
T0021,Hardware,Medium,Closed,2024-01-01 21:00:00,0.5774918223812373,U021,T01,3.166364470205518,Sample IT support ticket 21 with various issues and complexities,-0.58611687671832
T0022,Software,Low,Resolved,2024-01-01 22:00:00,1.4232474852390962,U022,T02,3.6102376630440585,Sample IT support ticket 22 with various issues and complexities,0.23218493177328708
T0023,Security,Low,In Progress,2024-01-01 23:00:00,1.7771284896373387,U023,T03,3.7184629457467926,Sample IT support ticket 23 with various issues and complexities,-0.27527596585424385
T0024,Security,Low,Resolved,2024-01-02 00:00:00,6.527495051146086,U024,T04,3.384003147042034,Sample IT support ticket 24 with various issues and complexities,0.15817916076807237
T0025,Software,Medium,In Progress,2024-01-02 01:00:00,1.307132596706528,U025,T05,2.9631066686000844,Sample IT support ticket 25 with various issues and complexities,-0.44262434306211124
T0026,Software,Medium,In Progress,2024-01-02 02:00:00,0.9464603649449942,U026,T06,3.6351033380206497,Sample IT support ticket 26 with various issues and complexities,0.09053137138554117
T0027,Software,Medium,Resolved,2024-01-02 03:00:00,12.628115475800033,U027,T07,4.145141296091177,Sample IT support ticket 27 with various issues and complexities,0.6516390186580319
T0028,Security,High,Resolved,2024-01-02 04:00:00,0.03561119068914095,U028,T08,4.476023572668452,Sample IT support ticket 28 with various issues and complexities,0.29308290019639166
T0029,Security,Low,Resolved,2024-01-02 05:00:00,24.515291975616346,U029,T09,3.554061557513343,Sample IT support ticket 29 with various issues and complexities,-0.2062069091082402
T0030,Hardware,Low,Resolved,2024-01-02 06:00:00,4.518199417747013,U030,T10,3.669601742285253,Sample IT support ticket 30 with various issues and complexities,0.12859948517796368
T0031,Hardware,Low,Resolved,2024-01-02 07:00:00,7.05197206575348,U031,T11,3.2586413529221514,Sample IT support ticket 31 with various issues and complexities,-0.12033258726510651
T0032,Security,Low,Resolved,2024-01-02 08:00:00,1.3960710340196825,U032,T12,3.974848663700179,Sample IT support ticket 32 with various issues and complexities,0.003940092347364076
T0033,Software,Medium,In Progress,2024-01-02 09:00:00,0.057674918952046086,U033,T13,3.321257092647348,Sample IT support ticket 33 with various issues and complexities,-0.1628055260742518
T0034,Software,Low,Resolved,2024-01-02 10:00:00,5.355651513738802,U034,T14,4.45850225059296,Sample IT support ticket 34 with various issues and complexities,-0.0821676029426956
T0035,Hardware,Low,In Progress,2024-01-02 11:00:00,7.186555745973603,U035,T15,2.5713068064527107,Sample IT support ticket 35 with various issues and complexities,0.10604667653708762
T0036,Security,Low,In Progress,2024-01-02 12:00:00,5.395626414192376,U036,T16,3.71229626203803,Sample IT support ticket 36 with various issues and complexities,-0.49667934979097533
T0037,Hardware,High,Resolved,2024-01-02 13:00:00,0.6165707268408868,U037,T17,4.2408858713533935,Sample IT support ticket 37 with various issues and complexities,-0.5079394134949892
T0038,Hardware,Medium,In Progress,2024-01-02 14:00:00,5.600403694417016,U038,T18,4.147067613058003,Sample IT support ticket 38 with various issues and complexities,-0.6942712769156055
T0039,Network,High,Resolved,2024-01-02 15:00:00,5.860013390912066,U039,T19,5.0,Sample IT support ticket 39 with various issues and complexities,-0.800135552251855
T0040,Network,Low,Resolved,2024-01-02 16:00:00,4.298104989327524,U040,T00,4.279840019654326,Sample IT support ticket 40 with various issues and complexities,-0.6086413461102397
T0041,Network,Medium,In Progress,2024-01-02 17:00:00,5.811718902769653,U041,T01,3.196756322526392,Sample IT support ticket 41 with various issues and complexities,0.07973125340206459
T0042,Software,High,Resolved,2024-01-02 18:00:00,7.48117069871522,U042,T02,3.9236286023287414,Sample IT support ticket 42 with various issues and complexities,-0.44639375774594203
T0043,Security,Medium,In Progress,2024-01-02 19:00:00,3.8035712972517217,U043,T03,2.5790029332268385,Sample IT support ticket 43 with various issues and complexities,0.2568072321155481
T0044,Security,Medium,Closed,2024-01-02 20:00:00,0.37111428957966297,U044,T04,3.9355202005625913,Sample IT support ticket 44 with various issues and complexities,0.01735687437628093
T0045,Security,Medium,Resolved,2024-01-02 21:00:00,2.6748159351504888,U045,T05,3.333555154399393,Sample IT support ticket 45 with various issues and complexities,-0.9842521067190269
T0046,Security,High,Resolved,2024-01-02 22:00:00,0.32331918629730133,U046,T06,4.732312220448129,Sample IT support ticket 46 with various issues and complexities,0.3274877921108449
T0047,Network,Medium,Resolved,2024-01-02 23:00:00,2.093908139301341,U047,T07,3.5603677803235723,Sample IT support ticket 47 with various issues and complexities,0.40539932279585494
T0048,Software,Medium,Open,2024-01-03 00:00:00,2.0909618922025244,U048,T08,3.9065872673638027,Sample IT support ticket 48 with various issues and complexities,-0.4969313374174267
